TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
03-07-2023,30.8,92,8888,5,2
04-07-2023,31.9,82,13.6,4,2
05-07-2023,31.2,84,0,3,1
06-07-2023,27.9,96,21.3,4,1
07-07-2023,31.7,82,1.8,5,2
08-07-2023,31.8,83,0,6,3
09-07-2023,31,88,0,4,2
10-07-2023,30.3,86,1.8,8,2
11-07-2023,-,96,6.3,4,1
12-07-2023,31.3,84,20.2,5,2
13-07-2023,32.9,82,0,4,2
14-07-2023,29,94,0,5,1
15-07-2023,30.9,85,60.8,4,2
16-07-2023,31.9,85,-,5,2
17-07-2023,31.3,84,-,7,3
18-07-2023,30.7,89,0.8,7,2
19-07-2023,30.6,87,4.5,6,3
20-07-2023,28.5,87,7.3,5,3
21-07-2023,31.5,84,0.2,6,2
22-07-2023,32.5,80,-,7,3
23-07-2023,31.1,83,0,6,2
24-07-2023,31.4,80,0.5,7,3
25-07-2023,32.2,78,-,6,2
26-07-2023,33.1,79,0,6,3
27-07-2023,32,80,-,7,3
28-07-2023,31.6,80,8888,10,4
29-07-2023,31.8,76,0,11,5
30-07-2023,31.8,73,0,10,5
31-07-2023,31.3,77,-,6,3
01-08-2023,32.1,80,-,5,2
02-08-2023,32.1,80,8888,6,3
03-08-2023,-,93,8888,8,2
04-08-2023,32.2,81,25.4,7,3
05-08-2023,32.2,81,1.6,7,2
06-08-2023,32.5,79,-,5,2
07-08-2023,31.8,81,0,8,3
08-08-2023,31.7,82,0,9,3
09-08-2023,32.3,78,0,8,3
10-08-2023,32.8,78,1.7,6,2
11-08-2023,32.5,78,0,6,3
12-08-2023,32,79,0,7,3
13-08-2023,32,74,8888,8,4
14-08-2023,31.8,77,0,9,4
15-08-2023,31.4,81,0,5,2
16-08-2023,31.8,84,8888,5,2
17-08-2023,30.5,90,7.2,4,1
18-08-2023,29,94,73.8,12,2
19-08-2023,30.2,92,18.6,5,2
20-08-2023,30.5,87,41.3,12,3
21-08-2023,30.4,87,0,4,2
22-08-2023,31.8,78,9,8,3
23-08-2023,32,80,0,5,3
24-08-2023,31.6,84,-,7,3
25-08-2023,31.6,86,1.8,7,3
26-08-2023,32.2,82,6.1,5,3
27-08-2023,32.4,80,0,4,3
28-08-2023,32,85,0,6,3
29-08-2023,31,80,11.2,5,3
30-08-2023,32.7,78,0,4,2
31-08-2023,31.7,78,-,6,2
01-09-2023,32.4,77,0,8,3
02-09-2023,32.7,77,-,6,3
03-09-2023,31.4,75,-,8,4
04-09-2023,32.6,72,0,7,4
05-09-2023,32.2,77,-,6,3
06-09-2023,31.9,86,0,7,3
07-09-2023,32.3,79,67.4,5,2
08-09-2023,33,78,-,6,3
09-09-2023,-,86,0,7,2
10-09-2023,31.3,88,1.8,7,2
11-09-2023,32.1,79,15.8,11,4
12-09-2023,31.8,80,1.7,8,4
13-09-2023,31.9,80,-,6,3
14-09-2023,32,78,-,5,3
15-09-2023,32.4,78,0,8,3
16-09-2023,32.7,79,-,5,3
17-09-2023,33.2,79,0,6,3
18-09-2023,30.8,87,8888,4,3
19-09-2023,32.8,80,8.4,5,2
20-09-2023,31.1,87,0,5,2
21-09-2023,31.7,81,24.2,7,3
22-09-2023,29.5,86,1,5,2
23-09-2023,31.4,82,2,5,2
24-09-2023,30.6,91,0,4,1
25-09-2023,31.4,84,44.5,7,2
26-09-2023,31.5,80,0,9,3
27-09-2023,32,78,0,7,3
28-09-2023,32.4,80,-,6,2
29-09-2023,32.5,82,0,6,2
30-09-2023,32,87,0,11,2
01-10-2023,31.7,86,1.5,13,2
02-10-2023,32.6,80,11.5,7,2
03-10-2023,31,87,-,13,2
04-10-2023,32.8,79,2.7,6,2
05-10-2023,33,78,0,5,2
06-10-2023,33.2,80,0,6,2
07-10-2023,32.6,79,0,6,2
08-10-2023,32.3,80,-,5,2
09-10-2023,32,80,-,5,2
10-10-2023,31.5,84,-,6,3
11-10-2023,30.9,85,7.2,5,2
12-10-2023,33,77,37.3,5,2
13-10-2023,33.1,79,0,6,2
14-10-2023,33.2,78,0,5,2
15-10-2023,33.2,77,0,6,2
16-10-2023,33.4,80,-,5,2
17-10-2023,34.1,76,0,5,2
18-10-2023,32.4,85,-,5,2
19-10-2023,32.6,78,1.3,5,2
20-10-2023,30.2,86,0,4,1
21-10-2023,31.3,87,1,4,1
22-10-2023,30.6,86,12.3,8,1
23-10-2023,31.4,86,19.7,4,1
24-10-2023,31,84,101.4,5,1
25-10-2023,31,85,34,4,1
26-10-2023,32.5,82,1.7,5,1
27-10-2023,31.8,82,0,3,1
28-10-2023,30,88,-,5,1
29-10-2023,32,83,4.3,4,1
30-10-2023,32.6,85,1.5,4,1
31-10-2023,32.8,80,12.8,4,2
01-11-2023,31.5,89,0.8,3,1
02-11-2023,31.2,84,20.4,2,1
03-11-2023,31.5,83,5.8,3,1
04-11-2023,32.4,81,9.9,5,1
05-11-2023,31.4,86,-,5,1
06-11-2023,32,87,3.9,4,1
07-11-2023,30.8,88,9.9,4,1
08-11-2023,27.1,94,42.9,6,1
09-11-2023,31.6,88,16,3,1
10-11-2023,32,84,94,5,1
11-11-2023,32.8,81,8888,5,1
12-11-2023,32.4,86,8888,4,1
13-11-2023,32.5,84,25.5,6,1
14-11-2023,30.4,90,0,4,1
15-11-2023,31.5,84,17.4,5,1
16-11-2023,30.6,86,8888,7,2
17-11-2023,31.1,88,36,3,1
18-11-2023,32.3,81,18.8,5,2
19-11-2023,29.6,90,9.6,5,2
20-11-2023,32.2,84,0.4,4,1
21-11-2023,30.3,91,4.2,7,2
22-11-2023,28.8,92,30,6,2
23-11-2023,30.9,88,56.9,3,2
24-11-2023,31.3,82,8888,5,2
25-11-2023,27.9,92,8888,4,1
26-11-2023,30.5,90,13.3,3,1
27-11-2023,27.1,94,23.5,3,1
28-11-2023,30.4,88,22,4,1
